timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt,S4_azimuth
2003-04-24 07:00:00-04:00,41,42,37,83.79446078951402,83.93061674492873,73.19413052387716,41.440774188673274,1.0750589967640822,12.331158638049772,90.0
2003-04-24 08:00:00-04:00,241,392,113,70.98100097843201,71.0284121813257,66.12008366088367,240.43890400753435,-0.2328199138861629,69.34513124970854,90.0
2003-04-24 09:00:00-04:00,463,668,116,58.89046865716644,58.91785596824766,57.04082001133111,460.8659899744403,-0.4609092927774707,54.27565043799447,90.0
2003-04-24 10:00:00-04:00,647,793,117,48.20706633912527,48.22561239174101,44.58325269393504,645.2959343257587,-0.26337954779618117,38.141751216458424,90.0
2003-04-24 11:00:00-04:00,770,865,105,40.108009608593555,40.121986363306775,27.016758414585865,766.4431589463221,-0.4619274095685566,20.938024165398204,90.0
2003-04-24 12:00:00-04:00,820,875,113,36.379714863584844,36.39194149713196,4.062510197554161,817.3550956948758,-0.32254930550295297,2.987703240522876,90.0
2003-04-24 13:00:00-04:00,794,870,109,38.32528721579655,38.33840496670655,340.0645678690838,791.3938617630654,-0.3282289970950393,15.083894326330181,270.0
2003-04-24 14:00:00-04:00,695,820,115,45.21586649268233,45.232577162768536,320.6056224558629,692.4691323803359,-0.36415361434016547,32.59708570533404,270.0
2003-04-24 15:00:00-04:00,531,753,99,55.222448322172944,55.24628121058108,306.6784546353603,528.2477181377606,-0.5183205013633602,49.11131833035728,270.0
2003-04-24 16:00:00-04:00,318,553,100,66.94674250702843,66.98535883322313,296.68995757206955,316.2043851237699,-0.5646587661100956,64.53039242701539,270.0
2003-04-24 17:00:00-04:00,98,177,66,79.59165497190149,79.67762742098797,289.097780242064,97.71598999436581,-0.28980612819814977,22.036591063862815,270.0
2003-04-24 18:00:00-04:00,3,0,3,92.9150851655076,92.9150851655076,282.86967847732694,3.0,0.0,,
2003-04-24 19:00:00-04:00,0,0,0,106.46826047911028,106.46826047911028,277.30200368823665,0.0,,,
2003-04-24 20:00:00-04:00,0,0,0,120.18863322767098,120.18863322767098,271.79482602001644,0.0,,,
