timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt
2003-07-09 15:00:00+04:00,649,585,214,41.93395661611085,41.949026170475804,276.8967343107101,649.0878010239944,0.013528663173253625,41.72718464870155
2003-07-09 16:00:00+04:00,433,434,187,55.40830887321129,55.432572852067885,281.22472127910464,433.24105267016915,0.05567036262567062,54.889369472279725
2003-07-09 17:00:00+04:00,208,178,144,68.66898654138807,68.71145222223463,285.7558041038755,208.62556959440786,0.3007546126960884,67.91502525114345
2003-07-09 18:00:00+04:00,41,0,41,81.57308350088799,81.6786129633284,290.8452068513263,41.0,0.0,17.56525390612498
2003-07-09 19:00:00+04:00,1,0,1,94.1730239475947,94.1730239475947,296.87214157923034,1.0,0.0,
2003-07-09 20:00:00+04:00,0,0,0,105.93823025787734,105.93823025787734,304.33822729303,0.0,,
2003-07-09 21:00:00+04:00,0,0,0,116.55272969083963,116.55272969083963,313.9319292738372,0.0,,
2003-07-09 22:00:00+04:00,0,0,0,125.3298824750066,125.3298824750066,326.48009417645414,0.0,,
2003-07-09 23:00:00+04:00,0,0,0,131.2574637988645,131.2574637988645,342.4933398705538,0.0,,
2003-07-10 00:00:00+04:00,0,0,0,133.23344910474836,133.23344910474836,1.0750533701278187,0.0,,
2003-07-10 01:00:00+04:00,0,0,0,130.77791448244176,130.77791448244176,19.48322787732286,0.0,,
2003-07-10 02:00:00+04:00,0,0,0,124.47730505973455,124.47730505973455,35.12253160349292,0.0,,
2003-07-10 03:00:00+04:00,0,0,0,115.45194536289763,115.45194536289763,47.30863113033149,0.0,,
2003-07-10 04:00:00+04:00,0,0,0,104.68100927875669,104.68100927875669,56.631660475734975,0.0,,
2003-07-10 05:00:00+04:00,2,0,2,92.81673643828387,92.81673643828387,63.91495782682432,2.0,0.0,
2003-07-10 06:00:00+04:00,49,0,49,80.16621264064409,80.25786823097552,69.82605721330305,49.0,0.0,20.792151461863526
2003-07-10 07:00:00+04:00,198,106,157,67.20799861020933,67.24753294195446,74.85099745592447,197.9955709851541,-0.0022368761847964508,66.47531328126888
2003-07-10 08:00:00+04:00,377,202,259,53.916268725849015,53.93924006783255,79.36452092527895,377.90585620340903,0.24028016005544564,53.44247299312263
2003-07-10 09:00:00+04:00,543,210,383,40.42181657521236,40.43610614049079,83.73709834215327,542.8372432932124,-0.02997361082644647,40.252594702616115
2003-07-10 10:00:00+04:00,703,350,391,26.808458680203543,26.816936373797013,88.60115098755097,703.3583757324291,0.05097805582205794,26.801584880037105
2003-07-10 11:00:00+04:00,817,486,344,13.176650765859918,13.180565048709695,96.53828395180096,817.1969639216106,0.02410819113961219,13.093911793966498
2003-07-10 12:00:00+04:00,873,517,357,2.2899362396917695,2.2905787216468525,199.56733216770925,873.5869069548686,0.067228746262153,0.7672953434647525
2003-07-10 13:00:00+04:00,945,684,284,14.679497197658463,14.683880438333972,264.7308407009842,945.6599489203097,0.06983586458303877,14.620128718946333
2003-07-10 14:00:00+04:00,834,730,192,28.320180468512874,28.32922243095149,271.95568291497386,834.5718718663878,0.06856976815201721,28.306241265930268
2003-07-10 15:00:00+04:00,666,655,179,41.92712256589526,41.942188513850546,276.70742068380673,666.2018382452252,0.030306042826605088,41.73157306058001
2003-07-10 16:00:00+04:00,467,598,127,55.407869496932655,55.43213308113386,281.0705373822862,466.2944466440574,-0.15108208906693446,54.90322115435539
2003-07-10 17:00:00+04:00,227,245,138,68.6766084204202,68.71909035438739,285.6195360484659,226.92049123340084,-0.03502588836967472,67.9361888311268
2003-07-10 18:00:00+04:00,47,1,47,81.59043292561749,81.69615808200219,290.7176398028295,47.144422552456064,0.307282026502263,17.509298079493263
2003-07-10 19:00:00+04:00,1,0,1,94.2027740311601,94.2027740311601,296.7476452710777,1.0,0.0,
2003-07-10 20:00:00+04:00,0,0,0,105.98316742173702,105.98316742173702,304.2136621458391,0.0,,
